genotype,daysInLD,boltDay,leafcount,boltDayFromLDTransfer
Ws-2,0,16,25,16
Ws-2,0,17,23,17
Ws-2,0,17,25,17
Ws-2,0,18,26,18
Ws-2,0,21,26,21
Ws-2,0,22,23,22
Ws-2,0,23,24,23
Ws-2,0,24,24,24
Ws-2,0,24,28,24
Ws-2,0,24,25,24
Ws-2,1,11,22,12
Ws-2,1,11,23,12
Ws-2,1,12,23,13
Ws-2,1,12,22,13
Ws-2,1,12,24,13
Ws-2,1,12,23,13
Ws-2,1,13,23,14
Ws-2,1,13,24,14
Ws-2,1,13,21,14
Ws-2,1,13,22,14
Ws-2,2,11,24,13
Ws-2,2,11,24,13
Ws-2,2,11,22,13
Ws-2,2,11,21,13
Ws-2,2,12,21,14
Ws-2,2,12,24,14
Ws-2,2,12,22,14
Ws-2,2,12,22,14
Ws-2,2,12,22,14
Ws-2,2,12,22,14
Ws-2,2,12,19,14
Ws-2,2,13,22,15
Ws-2,2,13,23,15
Ws-2,2,13,24,15
Ws-2,2,13,21,15
Ws-2,2,13,23,15
Ws-2,2,14,23,16
Ws-2,2,14,21,16
Ws-2,2,15,24,17
Ws-2,3,10,23,13
Ws-2,3,11,22,14
Ws-2,3,11,20,14
Ws-2,3,11,22,14
Ws-2,3,12,22,15
Ws-2,3,12,20,15
Ws-2,3,12,20,15
Ws-2,3,12,23,15
Ws-2,3,12,21,15
Ws-2,3,13,23,16
Ws-2,3,13,24,16
Ws-2,3,13,22,16
Ws-2,3,13,22,16
Ws-2,3,14,22,17
Ws-2,3,14,23,17
Ws-2,3,14,22,17
Ws-2,3,14,23,17
Ws-2,3,14,21,17
Ws-2,3,14,22,17
Ws-2,4,9,23,13
Ws-2,4,9,22,13
Ws-2,4,9,23,13
Ws-2,4,10,22,14
Ws-2,4,10,22,14
Ws-2,4,10,21,14
Ws-2,4,10,19,14
Ws-2,4,10,21,14
Ws-2,4,10,20,14
Ws-2,4,10,22,14
Ws-2,4,10,20,14
Ws-2,4,10,20,14
Ws-2,4,11,21,15
Ws-2,4,11,20,15
Ws-2,4,11,20,15
Ws-2,4,11,21,15
Ws-2,4,12,20,16
Ws-2,4,12,21,16
Ws-2,4,12,20,16
Ws-2,5,6,20,11
Ws-2,5,7,19,12
Ws-2,5,7,21,12
Ws-2,5,7,19,12
Ws-2,5,7,22,12
Ws-2,5,7,21,12
Ws-2,5,7,21,12
Ws-2,5,7,19,12
Ws-2,5,7,20,12
Ws-2,5,8,20,13
Ws-2,5,8,20,13
Ws-2,5,8,19,13
Ws-2,5,9,19,14
Ws-2,5,9,23,14
Ws-2,5,9,21,14
Ws-2,5,9,21,14
Ws-2,5,9,20,14
Ws-2,5,9,23,14
Ws-2,5,10,19,15
Ws-2,5,11,19,16
Ws-2,6,6,19,12
Ws-2,6,6,20,12
Ws-2,6,6,21,12
Ws-2,6,6,18,12
Ws-2,6,7,22,13
Ws-2,6,7,19,13
Ws-2,6,7,19,13
Ws-2,6,7,17,13
Ws-2,6,7,19,13
Ws-2,6,7,18,13
Ws-2,6,7,18,13
Ws-2,6,7,20,13
Ws-2,6,7,21,13
Ws-2,6,8,20,14
Ws-2,6,8,19,14
Ws-2,6,9,21,15
Ws-2,6,10,20,16
Ws-2,6,10,20,16
Ws-2,6,10,18,16
Ws-2,6,11,18,17
Ws-2,7,2,18,9
Ws-2,7,3,17,10
Ws-2,7,4,18,11
Ws-2,7,4,18,11
Ws-2,7,4,20,11
Ws-2,7,4,16,11
Ws-2,7,4,19,11
Ws-2,7,4,18,11
Ws-2,7,5,19,12
Ws-2,7,6,18,13
Ws-2,LD,2,19,9
Ws-2,LD,3,16,10
Ws-2,LD,3,15,10
Ws-2,LD,4,20,11
Ws-2,LD,4,17,11
Ws-2,LD,4,17,11
Ws-2,LD,4,18,11
Ws-2,LD,5,16,12
Ws-2,LD,5,18,12
Ws-2,LD,5,17,12
Tnz,0,21,20,21
Tnz,0,22,17,22
Tnz,0,23,17,23
Tnz,0,27,17,27
Tnz,0,27,20,27
Tnz,0,28,19,28
Tnz,0,29,19,29
Tnz,0,31,17,31
Tnz,1,17,20,18
Tnz,1,17,19,18
Tnz,1,17,17,18
Tnz,1,17,19,18
Tnz,1,18,18,19
Tnz,1,18,18,19
Tnz,1,19,16,20
Tnz,1,19,18,20
Tnz,1,20,19,21
Tnz,2,15,16,17
Tnz,2,15,15,17
Tnz,2,16,19,18
Tnz,2,16,18,18
Tnz,2,17,16,19
Tnz,2,18,18,20
Tnz,2,18,17,20
Tnz,2,18,18,20
Tnz,2,18,16,20
Tnz,2,18,17,20
Tnz,2,19,16,21
Tnz,2,19,18,21
Tnz,2,19,16,21
Tnz,2,19,16,21
Tnz,2,22,18,24
Tnz,2,22,18,24
Tnz,3,18,18,21
Tnz,3,19,16,22
Tnz,3,19,16,22
Tnz,3,19,18,22
Tnz,3,21,17,24
Tnz,3,21,17,24
Tnz,3,24,15,27
Tnz,3,24,18,27
Tnz,3,25,17,28
Tnz,3,25,17,28
Tnz,3,27,17,30
Tnz,3,27,17,30
Tnz,3,28,15,31
Tnz,3,31,16,34
Tnz,4,16,18,20
Tnz,4,16,18,20
Tnz,4,18,18,22
Tnz,4,19,17,23
Tnz,4,19,18,23
Tnz,4,19,18,23
Tnz,4,21,18,25
Tnz,4,21,18,25
Tnz,4,21,17,25
Tnz,4,22,20,26
Tnz,4,22,19,26
Tnz,4,23,17,27
Tnz,4,23,17,27
Tnz,4,25,18,29
Tnz,4,25,17,29
Tnz,4,27,19,31
Tnz,4,31,17,35
Tnz,5,14,16,19
Tnz,5,16,16,21
Tnz,5,16,15,21
Tnz,5,16,16,21
Tnz,5,17,17,22
Tnz,5,19,16,24
Tnz,5,19,14,24
Tnz,5,21,16,26
Tnz,5,22,17,27
Tnz,5,22,17,27
Tnz,5,23,15,28
Tnz,5,23,15,28
Tnz,5,23,16,28
Tnz,5,24,16,29
Tnz,5,24,16,29
Tnz,5,25,15,30
Tnz,5,28,17,33
Tnz,6,14,18,20
Tnz,6,16,14,22
Tnz,6,16,14,22
Tnz,6,18,16,24
Tnz,6,18,16,24
Tnz,6,18,15,24
Tnz,6,19,15,25
Tnz,6,19,19,25
Tnz,6,19,15,25
Tnz,6,20,18,26
Tnz,6,20,16,26
Tnz,6,20,15,26
Tnz,6,22,16,28
Tnz,6,22,18,28
Tnz,6,23,15,29
Tnz,6,25,16,31
Tnz,6,27,16,33
Tnz,6,27,18,33
Tnz,6,28,17,34
Tnz,7,12,17,19
Tnz,7,12,18,19
Tnz,7,12,16,19
Tnz,7,13,15,20
Tnz,7,13,16,20
Tnz,7,13,16,20
Tnz,7,13,18,20
Tnz,7,14,17,21
Tnz,7,15,16,22
Tnz,LD,8,14,15
Tnz,LD,8,14,15
Tnz,LD,8,12,15
Tnz,LD,8,12,15
Tnz,LD,8,12,15
Tnz,LD,9,13,16
Tnz,LD,9,13,16
Tnz,LD,9,13,16
Tnz,LD,9,14,16
Tnz,LD,10,12,17