EXP,plant,rep,PEG,Temp,Weiss,Hoaglands,IFW,FFW,SFFW,RFFW,CFW,TDW,SDW,RDW,TWC,SWC,RWC,DR:S,WCR:S ,WU,RL,RSA,RAD,RV,RT,CFW/WU
1E,B289,2,0%,4°C,1,Hg50,0.482,0.8,0.526,0.274,0.318,0.078,0.0576,0.0204,0.722,0.4684,0.2536,0.354166667,0.541417592,10.67,103.9823,28.9069,0.8849,0.639,1200,0.0298125
0E,B284,4,0%,4C,1,Hg50,,0.959,0.573,0.386,,,,,,,,,,12.5,103.7561,30.9207,0.9486,0.733,1200,0
2E,B284,3,0%,4°C,1,Hg50,0.215,0.511,0.36,0.151,0.296,0.0512,0.0387,0.0125,0.4598,0.3213,0.1385,0.322997416,0.431061313,4.33,90.8385,16.6568,0.5837,0.243,1204,0.068307692
0E,B290,3,0%,4C,1,Hg50,,0.85,0.524,0.326,,,,,,,,,,11.5,116.8113,35.7629,0.9745,0.871,1226,0
2E,B290,3,0%,4°C,1,Hg50,0.398,0.84,0.53,0.31,0.442,0.0707,0.0525,0.0182,0.7693,0.4775,0.2918,0.346666667,0.611099476,11.33,110.628,29.2794,0.8425,0.617,1233,0.039
2E,B285,2,15%,4°C,1,Hg50,0.412,0.753,0.481,0.272,0.341,0.0791,0.0583,0.0208,0.6739,0.4227,0.2512,0.3567753,0.594274899,4.33,116.3954,27.7426,0.7587,0.526,1236,0.078692308
0E,B290,9,0%,4C,1,Hg50,,0.928,0.574,0.354,,,,,,,,,,15.5,124.4956,36.5887,0.9355,0.856,1236,0
4E,B284,2,0%,4°C,3,Hg50,0.42,0.86,0.566,0.294,0.44,0.0889,0.0679,0.021,0.7711,0.4981,0.273,0.309278351,0.548082714,13.67,89.1172,33.028,1.1797,0.974,1239,0.032195122
2E,Ant,4,0%,4°C,1,Hg50,0.432,0.874,0.54,0.334,0.442,0.0936,0.0648,0.0288,0.7804,0.4752,0.3052,0.444444444,0.642255892,11.33,110.162,32.2272,0.9312,0.75,1242,0.039
0E,B290,5,0%,4C,1,Hg50,,0.912,0.561,0.351,,,,,,,,,,14.5,126.9718,34.472,0.8642,0.745,1243,0
4E,Bow,2,0%,4°C,3,Hg50,0.734,1.492,0.85,0.642,0.758,0.1437,0.0986,0.0451,1.3483,0.7514,0.5969,0.457403651,0.794383817,22.67,24.2761,44.0661,5.778,6.365,1262,0.033441176
1E,B285,2,0%,4°C,1,Hg50,0.431,0.851,0.553,0.298,0.42,0.0798,0.0628,0.017,0.7712,0.4902,0.281,0.270700637,0.573235414,10.67,76.59,26.7227,1.1106,0.742,1286,0.039375
4E,B284,5,0%,4°C,3,Hg50,0.58,1.219,0.829,0.39,0.639,0.1256,0.0953,0.0303,1.0934,0.7337,0.3597,0.317943337,0.490254873,18.67,91.8184,35.4264,1.2281,1.088,1292,0.034232143
4E,B285,4,15%,4°C,3,Hg50,0.594,0.66,0.426,0.234,0.066,0.0847,0.0669,0.0178,0.5753,0.3591,0.2162,0.266068759,0.602060707,3.00,72.929,28.325,1.2363,0.875,1296,0.022
0E,B284,8,0%,4C,1,Hg50,,0.618,0.34,0.278,,,,,,,,,,10.5,123.7698,28.1991,0.7252,0.511,1308,0
4E,Bow,1,15%,4°C,3,Hg50,0.556,0.804,0.473,0.331,0.248,0.0989,0.0642,0.0347,0.7051,0.4088,0.2963,0.540498442,0.724804305,5.00,79.9331,34.4232,1.3708,1.18,1312,0.0496
0E,B285,1,0%,4C,1,Hg50,,0.742,0.472,0.27,,,,,,,,,,10.5,111.6544,32.0875,0.9148,0.734,1317,0
0E,Ant,1,0%,4C,1,Hg50,,0.491,0.306,0.185,,,,,,,,,,7.5,116.755,24.1687,0.6589,0.398,1324,0
2E,B290,3,15%,4°C,1,Hg50,0.498,0.725,0.46,0.265,0.227,0.0795,0.057,0.0225,0.6455,0.403,0.2425,0.394736842,0.601736973,6.33,91.4437,33.0812,1.1515,0.952,1325,0.035842105
1E,B284,1,15%,4°C,1,Hg50,0.48,0.586,0.461,0.125,0.106,0.0775,0.0589,0.0186,0.5085,0.4021,0.1064,0.315789474,0.264610793,4.67,119.3473,30.147,0.804,0.606,1326,0.022714286
4E,B290,4,15%,4°C,3,Hg50,0.654,0.824,0.536,0.288,0.17,0.1132,0.0842,0.029,0.7108,0.4518,0.259,0.344418052,0.573262506,9.00,70.8531,34.8141,1.564,1.361,1329,0.018888889
0E,Ant,8,0%,4C,1,Hg50,,0.56,0.344,0.216,,,,,,,,,,10.5,100.5163,25.2554,0.7998,0.505,1332,0
2E,Bow,2,15%,4°C,1,Hg50,0.461,0.552,0.364,0.188,0.091,0.0642,0.0515,0.0127,0.4878,0.3125,0.1753,0.246601942,0.56096,5.33,69.424,25.7415,1.1803,0.76,1336,0.0170625
1E,Bow,4,0%,4°C,1,Hg50,0.465,1.068,0.667,0.401,0.603,0.0882,0.0662,0.022,0.9798,0.6008,0.379,0.332326284,0.630825566,12.67,190.547,36.3226,0.6068,0.551,1340,0.047605263
3E,B285,3,0%,4°C,3,Hg50,0.478,1.101,0.646,0.455,0.623,0.1036,0.078,0.0256,0.9974,0.568,0.4294,0.328205128,0.755985915,18.67,120.5513,33.3262,0.88,0.733,1354,0.033375
2E,Bow,1,0%,4°C,1,Hg50,0.501,0.894,0.595,0.299,0.393,0.0909,0.0658,0.0251,0.8031,0.5292,0.2739,0.381458967,0.517573696,10.33,117.1967,27.3531,0.7429,0.508,1366,0.038032258
3E,B290,1,0%,4°C,3,Hg50,0.726,1.527,0.94,0.587,0.801,0.1301,0.0953,0.0348,1.3969,0.8447,0.5522,0.365162644,0.653723215,24.67,214.9352,46.7771,0.6927,0.81,1366,0.032472973
3E,B289,1,15%,4°C,3,Hg50,0.822,1.076,0.675,0.401,0.254,0.1117,0.0872,0.0245,0.9643,0.5878,0.3765,0.280963303,0.640523988,10.67,127.5606,37.4737,0.9351,0.876,1370,0.0238125
3E,B284,1,0%,4°C,3,Hg50,0.627,1.251,0.77,0.481,0.624,0.121,0.0887,0.0323,1.13,0.6813,0.4487,0.364148816,0.658593865,20.67,151.7608,42.1439,0.8839,0.931,1377,0.030193548
0E,Bow,10,0%,4C,1,Hg50,,0.677,0.393,0.284,,,,,,,,,,9.5,72.4156,31.0042,1.3628,1.056,1380,0
0E,B290,1,0%,4C,1,Hg50,,0.983,0.572,0.411,,,,,,,,,,12.5,112.1697,40.1515,1.1394,1.144,1399,0
0E,Bow,6,0%,4C,1,Hg50,,0.757,0.472,0.285,,,,,,,,,,8.5,63.2474,29.8774,1.5037,1.123,1403,0
4E,B285,5,0%,4°C,3,Hg50,0.5,1.08,0.682,0.398,0.58,0.1127,0.0897,0.023,0.9673,0.5923,0.375,0.256410256,0.633125106,16.67,84.2801,36.1106,1.3638,1.231,1412,0.0348
4E,B290,4,0%,4°C,3,Hg50,0.601,1.227,0.745,0.482,0.626,0.1246,0.0865,0.0381,1.1024,0.6585,0.4439,0.440462428,0.674107821,18.67,126.5251,48.3106,1.2154,1.468,1424,0.033535714
0E,Bow,9,0%,4C,1,Hg50,,0.996,0.583,0.413,,,,,,,,,,10.5,56.0353,40.7688,2.3159,2.36,1436,0
4E,B290,3,0%,4°C,3,Hg50,0.711,1.225,0.911,0.314,0.514,0.1497,0.1134,0.0363,1.0753,0.7976,0.2777,0.32010582,0.348169509,20.67,94.4634,42.2205,1.4227,1.502,1449,0.024870968
0E,B290,10,0%,4C,1,Hg50,,0.918,0.518,0.4,,,,,,,,,,13.5,93.3592,40.8202,1.3918,1.42,1449,0
0E,B285,5,0%,4C,1,Hg50,,0.858,0.542,0.316,,,,,,,,,,14.5,105.5204,36.3019,1.0951,0.994,1466,0
3E,B285,4,0%,4°C,3,Hg50,0.463,1.05,0.61,0.44,0.587,0.095,0.07,0.025,0.955,0.54,0.415,0.357142857,0.768518519,17.67,120.2812,39.8277,1.054,1.049,1470,0.033226415
0E,Ant,7,0%,4C,1,Hg50,,0.578,0.33,0.248,,,,,,,,,,7.5,105.776,29.6543,0.8924,0.662,1498,0
4E,B284,1,15%,4°C,3,Hg50,0.837,0.658,0.335,0.323,-0.179,0.0881,0.067,0.0211,0.5699,0.268,0.3019,0.314925373,1.126492537,3.00,99.5889,33.187,1.0607,0.88,1501,-0.059666667
1E,B290,4,15%,4°C,1,Hg50,0.504,0.606,0.401,0.205,0.102,0.0715,0.0542,0.0173,0.5345,0.3468,0.1877,0.319188192,0.541234141,7.67,140.8395,25.7478,0.5819,0.375,1526,0.013304348
0E,B284,9,0%,4C,1,Hg50,,0.699,0.45,0.249,,,,,,,,,,10.5,109.8667,24.1308,0.6991,0.422,1527,0
4E,B289,3,0%,4°C,3,Hg50,0.509,1.07,0.662,0.408,0.561,0.2965,0.0815,0.215,0.7735,0.5805,0.193,2.63803681,0.332472007,15.67,81.4924,34.6865,1.3549,1.175,1530,0.035808511
0E,Bow,4,0%,4C,1,Hg50,,0.956,0.543,0.413,,,,,,,,,,10.5,89.8456,35.3607,1.2528,1.107,1540,0
0E,Bow,2,15%,4C,1,Hg50,,0.537,0.345,0.192,,,,,,,,,,5.333333333,115.7171,29.3613,0.8077,0.593,1545,0
4E,B285,2,0%,4°C,3,Hg50,0.662,1.201,0.773,0.428,0.539,0.1288,0.0988,0.03,1.0722,0.6742,0.398,0.303643725,0.590329279,18.67,66.511,39.3117,1.8814,1.849,1562,0.028875
0E,B290,7,0%,4C,1,Hg50,,1.222,0.715,0.507,,,,,,,,,,16.5,157.9141,44.9462,0.906,1.018,1563,0
0E,B285,3,0%,4C,1,Hg50,,0.844,0.517,0.327,,,,,,,,,,11.5,121.2691,34.7964,0.9133,0.795,1569,0
1E,Ant,2,15%,4°C,1,Hg50,0.562,0.654,0.415,0.239,0.092,0.0865,0.0611,0.0254,0.5675,0.3539,0.2136,0.415711948,0.603560328,6.67,123.1821,28.5627,0.7381,0.527,1572,0.0138
0E,B289,2,0%,4C,1,Hg50,,0.743,0.44,0.303,,,,,,,,,,9.5,91.7136,35.231,1.2228,1.077,1584,0
4E,B284,4,15%,4°C,3,Hg50,0.87,0.91,0.522,0.388,0.04,0.119,0.0853,0.0337,0.791,0.4367,0.3543,0.395076202,0.811312114,7.00,119.1016,38.1007,1.0183,0.97,1588,0.005714286
0E,B284,2,15%,4C,1,Hg50,,0.579,0.382,0.197,,,,,,,,,,4.333333333,161.9227,29.4121,0.5782,0.425,1600,0
3E,B285,1,0%,4°C,3,Hg50,0.596,1.243,0.767,0.476,0.647,0.1156,0.0835,0.0321,1.1274,0.6835,0.4439,0.384431138,0.649451353,19.67,135.2768,37.2676,0.8769,0.817,1601,0.032898305
1E,B290,2,15%,4°C,1,Hg50,0.562,0.651,0.415,0.236,0.089,0.0657,0.0511,0.0146,0.5853,0.3639,0.2214,0.285714286,0.608408904,6.67,144.6562,28.258,0.6218,0.439,1614,0.01335
2E,B290,2,0%,4°C,1,Hg50,0.421,0.824,0.55,0.274,0.403,0.0767,0.0574,0.0193,0.7473,0.4926,0.2547,0.336236934,0.517052375,14.33,138.8492,30.6406,0.7024,0.538,1624,0.028116279
0E,B284,2,0%,4C,1,Hg50,,0.479,0.3,0.179,,,,,,,,,,6.5,113.6122,23.3003,0.6528,0.38,1628,0
4E,B289,2,0%,4°C,3,Hg50,0.83,1.53,0.921,0.609,0.7,0.1759,0.1186,0.0573,1.3541,0.8024,0.5517,0.483136594,0.687562313,28.67,104.7937,49.9053,1.5159,1.891,1632,0.024418605
4E,B290,1,15%,4°C,3,Hg50,0.9,1.064,0.674,0.39,0.164,0.1391,0.0967,0.0424,0.9249,0.5773,0.3476,0.438469493,0.602113286,7.00,95.6611,48.9486,1.6288,1.993,1632,0.023428571
1E,B285,3,0%,4°C,1,Hg50,0.522,1.096,0.678,0.418,0.574,0.0968,0.0745,0.0223,0.9992,0.6035,0.3957,0.299328859,0.655675228,14.67,200.5667,34.4635,0.547,0.471,1635,0.039136364
1E,B290,2,0%,4°C,1,Hg50,0.569,0.983,0.65,0.333,0.414,0.0864,0.066,0.0204,0.8966,0.584,0.3126,0.309090909,0.535273973,14.67,162.7242,40.8754,0.7996,0.817,1650,0.028227273
3E,B285,5,0%,4°C,3,Hg50,0.474,1.114,0.665,0.449,0.64,0.1234,0.0847,0.0387,0.9906,0.5803,0.4103,0.45690673,0.707048079,20.67,119.9357,38.6201,1.025,0.99,1660,0.030967742
4E,Bow,1,0%,4°C,3,Hg50,0.7,1.312,0.761,0.551,0.612,0.1349,0.0951,0.0398,1.1771,0.6659,0.5112,0.418506835,0.767682835,20.67,51.4276,49.9927,3.0943,3.867,1680,0.029612903
3E,B289,5,0%,4°C,3,Hg50,0.694,1.62,1.064,0.556,0.926,0.1769,0.1353,0.0416,1.4431,0.9287,0.5144,0.307464893,0.553892538,30.67,118.0709,43.3987,1.17,1.269,1683,0.030195652
4E,B284,4,0%,4°C,3,Hg50,0.606,1.3,0.775,0.525,0.694,0.1304,0.0964,0.034,1.1696,0.6786,0.491,0.352697095,0.723548482,21.67,98.3558,49.0507,1.5874,1.947,1684,0.032030769
0E,Ant,6,0%,4C,1,Hg50,,0.521,0.308,0.213,,,,,,,,,,6.5,125.3009,23.5805,0.599,0.353,1687,0
4E,Bow,4,0%,4°C,3,Hg50,0.678,1.466,0.802,0.664,0.788,0.1477,0.0958,0.0519,1.3183,0.7062,0.6121,0.541753653,0.866751628,19.67,73.4177,51.6011,2.2372,2.886,1708,0.040067797
3E,B285,2,0%,4°C,3,Hg50,0.43,0.99,0.596,0.394,0.56,0.0946,0.0676,0.027,0.8954,0.5284,0.367,0.399408284,0.694549584,17.67,178.1604,35.8299,0.6402,0.573,1728,0.031698113
3E,B289,2,15%,4°C,3,Hg50,0.78,1.07,0.67,0.4,0.29,0.1116,0.0882,0.0234,0.9584,0.5818,0.3766,0.265306122,0.647301478,10.67,124.9227,40.2579,1.0258,1.032,1739,0.0271875
0E,B285,7,0%,4C,1,Hg50,,0.811,0.505,0.306,,,,,,,,,,15.5,127.6087,33.1875,0.8278,0.687,1739,0
1E,Bow,3,0%,4°C,1,Hg50,0.496,0.834,0.53,0.304,0.338,0.0812,0.0587,0.0225,0.7528,0.4713,0.2815,0.38330494,0.597284108,12.67,157.6469,36.0668,0.7282,0.657,1757,0.026684211
1E,Bow,2,0%,4°C,1,Hg50,0.354,0.78,0.506,0.274,0.426,0.0694,0.0549,0.0145,0.7106,0.4511,0.2595,0.264116576,0.575260474,9.67,124.2372,27.9037,0.7149,0.499,1760,0.044068966
3E,B289,2,0%,4°C,3,Hg50,0.92,1.87,1.202,0.668,0.95,0.1623,0.1255,0.0368,1.7077,1.0765,0.6312,0.293227092,0.586344635,31.67,185.6532,53.7775,0.922,1.24,1761,0.03
4E,B289,5,0%,4°C,3,Hg50,0.57,1.082,0.715,0.367,0.512,0.1205,0.0884,0.0321,0.9615,0.6266,0.3349,0.363122172,0.534471752,18.67,122.5702,39.9986,1.0387,1.039,1767,0.027428571
3E,Ant,5,0%,4°C,3,Hg50,0.525,1.139,0.674,0.465,0.614,,0.09,,,0.584,,,,18.67,95.8014,43.1418,1.4334,1.546,1777,0.032892857
0E,B290,8,0%,4C,1,Hg50,,0.771,0.45,0.321,,,,,,,,,,15.5,162.021,37.2419,0.7317,0.681,1789,0
0E,B289,6,0%,4C,1,Hg50,,0.7,0.41,0.29,,,,,,,,,,11.5,112.9604,32.2709,0.9094,0.734,1790,0
1E,B290,1,15%,4°C,1,Hg50,0.669,0.791,0.518,0.273,0.122,0.0846,0.0653,0.0193,0.7064,0.4527,0.2537,0.295558959,0.560415286,9.67,154.8135,36.8775,0.7582,0.699,1816,0.01262069
1E,Bow,1,15%,4°C,1,Hg50,0.269,0.511,0.355,0.156,0.242,0.0644,0.0504,0.014,0.4466,0.3046,0.142,0.277777778,0.466185161,5.67,136.8465,26.2648,0.6109,0.401,1845,0.042705882
1E,B290,1,0%,4°C,1,Hg50,0.614,1.012,0.655,0.357,0.398,0.0862,0.0681,0.0181,0.9258,0.5869,0.3389,0.265785609,0.577440791,13.67,169.1691,37.8852,0.7129,0.675,1855,0.029121951
0E,Bow,6,15%,4C,1,Hg50,,0.655,0.393,0.262,,,,,,,,,,6.333333333,132.2669,31.7571,0.7643,0.607,1876,0
2E,Bow,2,0%,4°C,1,Hg50,0.349,0.79,0.494,0.296,0.441,0.069,0.0518,0.0172,0.721,0.4422,0.2788,0.332046332,0.630483944,10.33,119.7825,29.7372,0.7902,0.587,1916,0.042677419
0E,B285,10,0%,4C,1,Hg50,,0.744,0.436,0.308,,,,,,,,,,14.5,142.9808,32.6298,0.7264,0.593,1930,0
0E,B289,10,0%,4C,1,Hg50,,0.95,0.583,0.367,,,,,,,,,,13.5,144.9408,37.6619,0.8271,0.779,1963,0
0E,B289,3,0%,4C,1,Hg50,,0.677,0.37,0.307,,,,,,,,,,12.5,142.8567,35.5412,0.7919,0.704,1973,0
2E,B285,1,0%,4°C,1,Hg50,0.497,1.203,0.736,0.467,0.706,0.101,0.0734,0.0276,1.102,0.6626,0.4394,0.376021798,0.663145186,13.33,104.5043,42.4871,1.2941,1.375,1982,0.05295
4E,B290,1,0%,4°C,3,Hg50,1.046,1.738,1.083,0.655,0.692,0.1821,0.1277,0.0544,1.5559,0.9553,0.6006,0.425998434,0.628703025,31.67,147.1652,62.5347,1.3526,2.115,1987,0.021852632
0E,B284,6,0%,4C,1,Hg50,,0.708,0.414,0.294,,,,,,,,,,16.5,141.7094,32.9436,0.74,0.609,1988,0
1E,B289,4,0%,4°C,1,Hg50,0.503,1.097,0.628,0.469,0.594,0.0995,0.0743,0.0252,0.9975,0.5537,0.4438,0.339165545,0.801517067,14.67,180.2587,39.6398,0.7,0.694,2003,0.0405
1E,B290,5,0%,4°C,1,Hg50,0.457,1,0.605,0.395,0.543,0.0858,0.0667,0.0191,0.9142,0.5383,0.3759,0.286356822,0.698309493,13.67,168.255,43.4776,0.8225,0.894,2017,0.039731707
3E,Ant,3,15%,4°C,3,Hg50,0.492,0.71,0.447,0.263,0.218,,0.0738,,,0.3732,,,,6.67,128.1236,54.7494,1.3602,1.862,2024,0.0327
4E,B289,4,0%,4°C,3,Hg50,0.54,1.215,0.75,0.465,0.675,0.1237,0.0893,0.0344,1.0913,0.6607,0.4306,0.385218365,0.65173301,19.67,125.6072,44.9835,1.14,1.282,2073,0.034322034
4E,B290,5,0%,4°C,3,Hg50,0.882,1.556,1.005,0.551,0.674,0.1686,0.1243,0.0443,1.3874,0.8807,0.5067,0.356395817,0.575337799,28.67,91.8169,52.8834,1.8334,2.424,2079,0.023511628
0E,B284,3,0%,4C,1,Hg50,,0.98,0.553,0.427,,,,,,,,,,6.5,148.9784,48.678,1.0401,1.266,2087,0
3E,Ant,5,15%,4°C,3,Hg50,0.453,0.5,0.27,0.23,0.047,,0.0504,,,0.2196,,,,2.67,193.1244,56.4142,0.9298,1.311,2112,0.017625
0E,B290,4,0%,4C,1,Hg50,,0.612,0.362,0.25,,,,,,,,,,8.5,128.4833,35.6238,0.8826,0.786,2120,0
4E,B290,3,15%,4°C,3,Hg50,0.832,0.98,0.588,0.392,0.148,0.1138,0.0863,0.0275,0.8662,0.5017,0.3645,0.318655852,0.726529799,8.00,148.8755,47.4192,1.0139,1.202,2129,0.0185
4E,B285,4,0%,4°C,3,Hg50,0.551,1.09,0.707,0.383,0.539,0.1184,0.0934,0.025,0.9716,0.6136,0.358,0.267665953,0.583441982,17.67,127.6616,44.993,1.1219,1.262,2136,0.030509434
2E,B290,4,0%,4°C,1,Hg50,0.389,0.941,0.506,0.435,0.552,0.0812,0.0558,0.0254,0.8598,0.4502,0.4096,0.455197133,0.909817859,12.33,107.5583,45.6633,1.3514,1.543,2138,0.044756757
3E,B289,1,0%,4°C,3,Hg50,0.845,1.87,1.202,0.668,1.025,0.1716,0.1291,0.0425,1.6984,1.0729,0.6255,0.329202169,0.582999348,31.67,210.8954,60.493,0.913,1.381,2161,0.032368421
0E,B289,1,0%,4C,1,Hg50,,1.068,0.604,0.464,,,,,,,,,,15.5,127.849,47.2083,1.1754,1.387,2222,0
0E,Bow,5,0%,4C,1,Hg50,,0.817,0.446,0.371,,,,,,,,,,12.5,127.8648,41.9219,1.0436,1.094,2229,0
3E,B289,4,0%,4°C,3,Hg50,0.403,1.03,0.65,0.38,0.627,0.078,0.057,0.021,0.952,0.593,0.359,0.368421053,0.60539629,18.67,218.2552,39.5345,0.5766,0.57,2236,0.033589286
4E,B284,1,0%,4°C,3,Hg50,0.804,1.81,1.038,0.772,1.006,0.1652,0.1196,0.0456,1.6448,0.9184,0.7264,0.381270903,0.790940767,26.67,122.2171,56.1585,1.4626,2.053,2256,0.037725
2E,B290,1,0%,4°C,1,Hg50,0.44,0.974,0.601,0.373,0.534,0.084,0.0615,0.0225,0.89,0.5395,0.3505,0.365853659,0.649675626,14.33,87.4742,43.9482,1.5992,1.757,2257,0.037255814
4E,Bow,3,0%,4°C,3,Hg50,0.622,1.323,0.76,0.563,0.701,0.1374,0.094,0.0434,1.1856,0.666,0.5196,0.461702128,0.78018018,19.67,164.0461,49.4945,0.9604,1.188,2271,0.035644068
0E,Bow,2,0%,4C,1,Hg50,,0.661,0.37,0.291,,,,,,,,,,11.5,144.6601,35.2551,0.7758,0.684,2278,0
2E,B290,5,0%,4°C,1,Hg50,0.431,0.92,0.582,0.338,0.489,0.0809,0.0571,0.0238,0.8391,0.5249,0.3142,0.416812609,0.598590208,12.33,202.6421,38.2209,0.6004,0.574,2340,0.039648649
0E,B284,5,0%,4C,1,Hg50,,1.029,0.602,0.427,,,,,,,,,,15.5,208.1424,46.9526,0.718,0.843,2361,0
3E,Ant,3,0%,4°C,3,Hg50,0.374,0.76,0.46,0.3,0.386,,0.0638,,,0.3962,,,,12.67,80.457,63.5151,2.5128,3.99,2392,0.030473684
0E,Bow,1,0%,4C,1,Hg50,,0.518,0.315,0.203,,,,,,,,,,10.5,147.1817,33.0474,0.7147,0.59,2433,0
1E,Bow,1,0%,4°C,1,Hg50,0.525,1.07,0.655,0.415,0.545,0.0834,0.0657,0.0177,0.9866,0.5893,0.3973,0.269406393,0.674189717,13.67,240.5633,47.6671,0.6307,0.752,2908,0.039878049
0E,Bow,7,0%,4C,1,Hg50,,0.92,0.5,0.42,,,,,,,,,,13.5,181.5299,51.8836,0.9098,1.18,3000,0
3E,Ant,4,0%,4°C,3,Hg50,0.415,0.876,0.49,0.386,0.461,,0.0647,,,0.4253,,,,13.67,197.1371,83.5223,1.3486,2.816,3632,0.033731707
3E,Ant,4,15%,4°C,3,Hg50,0.455,0.684,0.422,0.262,0.229,,0.0694,,,0.3526,,,,8.67,,,,,,0.026423077
3E,Bow,2,0%,4°C,3,Hg50,0.482,1.03,0.609,0.421,0.548,,0.0766,,,0.5324,,,,21.67,,,,,,0.025292308
3E,Ant,1,15%,4°C,3,Hg50,0.487,0.689,0.38,0.309,0.202,,0.0576,,,0.3224,,,,7.67,,,,,,0.026347826
3E,Ant,2,0%,4°C,3,Hg50,0.514,1.04,0.62,0.42,0.526,,0.0783,,,0.5417,,,,15.67,,,,,,0.033574468
3E,B290,2,15%,4°C,3,Hg50,0.544,0.734,0.47,0.264,0.19,,0.0678,,,0.4022,,,,9.67,,,,,,0.019655172
3E,Ant,2,15%,4°C,3,Hg50,0.549,0.768,0.484,0.284,0.219,,0.0819,,,0.4021,,,,8.67,,,,,,0.025269231
3E,Bow,1,0%,4°C,3,Hg50,0.622,1.2,0.76,0.44,0.578,,0.0858,,,0.6742,,,,20.67,,,,,,0.027967742
3E,B290,1,15%,4°C,3,Hg50,0.631,0.79,0.538,0.252,0.159,,0.081,,,0.457,,,,10.67,,,,,,0.01490625
3E,B290,4,0%,4°C,3,Hg50,0.633,1.33,0.797,0.533,0.697,,0.0858,,,0.7112,,,,22.67,,,,,,0.03075
3E,B290,5,0%,4°C,3,Hg50,0.64,1.515,0.97,0.545,0.875,,0.1162,,,0.8538,,,,27.67,,,,,,0.031626506
3E,B290,2,0%,4°C,3,Hg50,0.644,1.403,0.893,0.51,0.759,,0.0964,,,0.7966,,,,23.67,,,,,,0.032070423
3E,B290,3,0%,4°C,3,Hg50,0.659,1.422,0.863,0.559,0.763,,0.0965,,,0.7665,,,,23.67,,,,,,0.032239437
3E,Bow,4,15%,4°C,3,Hg50,0.68,0.86,0.55,0.31,0.18,,0.0746,,,0.4754,,,,6.67,,,,,,0.027
3E,Bow,5,0%,4°C,3,Hg50,0.684,1.316,0.91,0.406,0.632,,0.1043,,,0.8057,,,,26.67,,,,,,0.0237
3E,Bow,3,15%,4°C,3,Hg50,0.703,0.644,0.353,0.291,-0.059,,0.0671,,,0.2859,,,,3.67,,,,,,-0.016090909
3E,Bow,3,0%,4°C,3,Hg50,0.724,1.432,0.9,0.532,0.708,,0.1062,,,0.7938,,,,24.67,,,,,,0.028702703
3E,Bow,5,15%,4°C,3,Hg50,0.75,1.04,0.635,0.405,0.29,,0.0891,,,0.5459,,,,10.67,,,,,,0.0271875
3E,B290,5,15%,4°C,3,Hg50,0.754,0.97,0.65,0.32,0.216,,0.1122,,,0.5378,,,,12.67,,,,,,0.017052632
3E,B290,4,15%,4°C,3,Hg50,0.791,0.94,0.557,0.383,0.149,,0.0819,,,0.4751,,,,8.67,,,,,,0.017192308
3E,Bow,4,0%,4°C,3,Hg50,0.866,1.72,1.128,0.592,0.854,,0.1404,,,0.9876,,,,28.67,,,,,,0.029790698
3E,B290,3,15%,4°C,3,Hg50,0.883,1.17,0.754,0.416,0.287,,0.1049,,,0.6491,,,,12.67,,,,,,0.022657895