Genotype,rep,germinationdate,Age_one,Age_two,Group,Algae,Initalweight,WeightPreStress,Totalfreshweight,Totalshootweight,Totalrootweight,Totaldryweight,Shootdryweight,Rootdryweight,Green/yellow,Healthy/wilted
Bowman,1,16/01/2024,11,25,A,H,0.462,2.298,1.83,1.111,0.719,0.2359,0.1642,0.0717,y,w
Bowman,2,16/01/2024,10,24,A,H,0.501,2.342,1.609,0.881,0.728,0.2236,0.1431,0.0805,y,w
Bowman,3,16/01/2024,12,26,A,M,0.519,2.169,1.416,0.758,0.658,0.2129,0.1455,0.0674,y,w
Bowman,4,16/01/2024,12,26,A,H,0.462,2.273,1.454,0.802,0.652,0.2129,0.1455,0.0674,y,w
Bowman,5,16/01/2024,12,26,A,H,0.462,1.829,1.199,0.627,0.572,0.2331,0.1514,0.0817,y,w
Bowman,6,16/01/2024,12,26,A,M,0.47,1.87,1.268,0.647,0.621,0.1822,0.1148,0.0674,y,w
Bowman,7,16/01/2024,NA,NA,A,NA,0.422,0,0,0,0,0,NA,NA,y,w
Bowman,8,16/01/2024,NA,NA,A,NA,0.426,0,0,0,0,0,NA,NA,y,w
Bowman,9,16/01/2024,10,24,A,M,0.484,1.981,1.115,0.645,0.47,0.1895,0.1243,0.0652,y,w
Bowman,10,16/01/2024,NA,NA,A,NA,0.425,0,0,0,0,0,NA,NA,y,w
Bowman,11,16/01/2024,10,24,A,M,0.466,2.359,1.797,1.134,0.663,0.174,0.1223,0.0517,y,w
Bowman,12,16/01/2024,11,25,A,M,0.453,1.892,1.167,0.582,0.585,0.2485,0.1697,0.0788,y,w
Bowman,13,16/01/2024,NA,NA,A,NA,0.363,0,0,0,0,0,NA,NA,y,w
Bowman,14,16/01/2024,NA,NA,A,NA,0.41,0,0,0,0,0,NA,NA,y,w
Bowman,15,16/01/2024,10,24,A,M,0.49,2.387,1.761,1.003,0.758,0.1938,0.1244,0.0694,y,w
Bowman,16,16/01/2024,10,24,A,M,0.459,2.203,1.423,0.762,0.661,0.2202,0.1482,0.072,g/y,h/w
Bowman,17,16/01/2024,11,25,A,M,0.461,2.156,1.301,0.649,0.652,0.1551,0.0945,0.0606,y,w
Bowman,18,16/01/2024,10,24,A,M,0.489,2.458,1.978,1.133,0.845,0.244,0.1596,0.0844,g/y,h/w
Bowman,19,16/01/2024,10,24,A,M,0.505,2.511,1.954,1.276,0.678,0.2429,0.1664,0.0765,y,w
Bowman,20,16/01/2024,10,24,A,L,0.473,2.283,1.482,0.833,0.649,0.2259,0.1536,0.0723,y,w
Bowman,21,16/01/2024,11,25,A,M,0.461,2.308,1.476,0.788,0.688,0.2134,0.1383,0.0751,y,w
Bowman,22,16/01/2024,10,24,A,L,0.452,2.08,1.193,0.687,0.506,0.1938,0.1327,0.0611,y,w
Bowman,23,16/01/2024,9,23,A,NA,0.482,2.457,1.995,1.227,0.768,0.2643,0.1741,0.0902,g,h/w
Bowman,24,16/01/2024,10,24,A,L,0.495,2.401,0.902,0.508,0.394,0.2766,0.1956,0.081,g/y,h/w
Bowman,25,16/01/2024,10,24,A,M,0.47,2.281,1.745,1.069,0.676,0.2285,0.1558,0.0727,g/y,h/w
Bowman,26,16/01/2024,10,24,A,NA,0.475,1.429,0,0,0,0.1485,0.1026,0.0459,y,w
Bowman,27,16/01/2024,10,24,A,L,0.486,2.035,1.545,0.997,0.548,0.2124,0.1456,0.0668,y,w
Bowman,28,16/01/2024,NA,NA,A,L,0.572,2.143,1.685,1.016,0.669,0.215,0.143,0.072,g/y,h/w
Bowman,29,16/01/2024,NA,NA,A,L,0.573,2.315,1.379,0.832,0.547,0.2123,0.1446,0.0677,y,w
Bowman,30,16/01/2024,NA,NA,A,L,0.566,2.284,1.442,0.851,0.591,0.2004,0.1437,0.0567,y,w
Bowman,31,16/01/2024,12,26,A,M,0.461,2.097,1.653,0.997,0.656,0.2031,0.1421,0.061,g/y,h/w
Bowman,32,16/01/2024,10,24,A,L,0.461,2.392,1.424,0.793,0.631,0.2179,0.1532,0.0647,g/y,w
Bowman,33,16/01/2024,10,24,A,NA,0.43,0,0,0,0,0,NA,NA,NA,NA
Bowman,34,16/01/2024,10,24,A,M,0.511,2.201,1.423,0.762,0.661,0.2078,0.1328,0.075,y,w
Bowman,35,16/01/2024,10,24,A,L,0.454,1.888,1.235,0.769,0.466,0.187,0.1293,0.0577,y,w
Bowman,36,16/01/2024,9,23,A,NA,0.45,2.018,1.507,0.991,0.516,0.2213,0.1639,0.0574,g,h/w
Bowman,37,16/01/2024,9,23,A,NA,0.469,2.687,2.125,1.303,0.822,0.285,0.1931,0.0919,g/y,h/w
Bowman,38,16/01/2024,11,25,A,H,0.5,2.115,1.219,0.658,0.561,0.3667,0.2821,0.0846,y,w
Bowman,39,16/01/2024,NA,NA,A,NA,0.436,0,0,0,0,0,NA,NA,NA,NA
Bowman,40,16/01/2024,10,24,A,M,0.515,2.46,1.654,0.987,0.667,0.2332,0.166,0.0672,g/y,h/w
Bowman,41,16/01/2024,12,26,A,L,0.461,1.953,1.439,0.821,0.618,0.186,0.1286,0.0574,g/y,w
Bowman,42,16/01/2024,NA,NA,A,L,0.437,0,1.39,0.7,0.69,0,NA,NA,NA,NA
Bowman,43,16/01/2024,11,25,A,M,0.46,2.005,1.161,0.576,0.585,0.1914,0.1271,0.0643,y,w
Bowman,44,16/01/2024,12,26,A,L,0.501,2.667,1.321,0.765,0.556,0.1979,0.129,0.0689,y,w
Bowman,45,16/01/2024,11,25,A,M,0.483,2.007,1.693,1.022,0.671,0.2869,0.145,0.1419,g/y,h/w
Bowman,46,16/01/2024,11,25,A,NA,0.485,2.102,0,0,0,0.1986,0.1309,0.0677,y,w
Bowman,47,16/01/2024,NA,NA,A,NA,0.407,0,0,0,0,0,NA,NA,NA,NA
Bowman,48,17/01/2024,11,25,B,L,0.45,1.859,1.157,0.65,0.507,0.1819,0.1186,0.0633,y,w
Bowman,49,17/01/2024,9,23,B,L,0.461,2.251,1.618,0.922,0.696,0.2055,0.1388,0.0667,g/y,w
Bowman,50,17/01/2024,9,23,B,M,0.487,0,1.596,0.892,0.704,NA,NA,NA,NA,NA
Bowman,51,17/01/2024,10,24,B,M,0.483,1.926,1.59,0.988,0.602,0.2096,0.1408,0.0688,g/y,w
Bowman,52,17/01/2024,NA,NA,B,NA,0.31,0,0,0,0,0,NA,NA,NA,NA
Bowman,53,17/01/2024,10,24,B,M,0.507,2.253,1.529,0.801,0.728,0.2996,0.2092,0.0904,y,w
Bowman,54,17/01/2024,11,25,B,H,0.455,1.353,1.406,0.894,0.512,0.1774,0.1204,0.057,g,h/w
Bowman,55,17/01/2024,NA,NA,B,NA,0.378,0,0,0,0,0,NA,NA,NA,NA
B289,1,16/01/2024,11,25,A,M,0.452,2.214,1.46,0.807,0.653,0.2294,0.1565,0.0729,y,w
B289,2,16/01/2024,11,25,A,M,0.478,2.474,1.524,0.836,0.688,0.2448,0.1628,0.082,y,w
B289,3,16/01/2024,10,24,A,L,0.519,2.483,1.738,1.006,0.732,0.283,0.1994,0.0836,y,w
B289,4,16/01/2024,10,24,A,M,0.486,2.279,1.424,0.858,0.566,0.2239,0.1675,0.0564,y,w
B289,5,16/01/2024,10,24,A,H,0.49,2.176,1.453,0.868,0.585,0.2096,0.1556,0.054,y,w
B289,6,16/01/2024,12,26,A,H,0.481,2.111,1.813,1.145,0.668,0.2372,0.17,0.0672,g/y,w
B289,7,16/01/2024,10,24,A,L,0.481,2.679,1.641,1.084,0.557,0.2899,0.2137,0.0762,y,w
B289,8,16/01/2024,10,24,A,L,0.456,2.575,1.575,0.976,0.599,0.2528,0.1857,0.0671,y,w
B289,9,16/01/2024,NA,NA,A,NA,0.481,0,0,0,0,0,NA,NA,NA,NA
B289,10,16/01/2024,12,26,A,L,0.471,1.965,1.541,1.035,0.506,0.2559,0.1985,0.0574,g/y,h/w
B289,11,16/01/2024,10,24,A,M,0.468,2.193,1.516,0.845,0.671,0.2251,0.1548,0.0703,y,w
B289,12,16/01/2024,10,24,A,H,0.457,2.116,1.387,0.789,0.598,0.2024,0.1424,0.06,y,w
B289,13,16/01/2024,10,24,A,M,0.481,2.267,1.58,0.91,0.67,0.2139,0.1538,0.0601,y,w
B289,14,16/01/2024,9,23,A,NA,0.456,2.355,1.915,1.125,0.79,0.2711,0.1814,0.0897,g,h/w
B289,15,16/01/2024,11,25,A,N,0.478,2.129,1.314,0.718,0.596,0.217,0.15,0.067,y,w
B289,16,16/01/2024,10,24,A,N,0.501,2.141,1.448,0.845,0.603,0.2391,0.1698,0.0693,y,w
B289,17,16/01/2024,11,25,A,L,0.501,2.253,1.526,0.839,0.687,0.2463,0.1663,0.08,y,w
B289,18,16/01/2024,10,24,A,N,0.514,2.445,1.403,0.88,0.523,0.2432,0.1738,0.0694,y,w
B289,19,16/01/2024,NA,NA,A,NA,0.403,0,0,0,0,0,NA,NA,NA,NA
B289,20,16/01/2024,10,24,A,NA,0.429,2.392,1.846,1.1,0.746,0.2694,0.1818,0.0876,y,w
B289,21,16/01/2024,11,25,A,L,0.506,2.161,1.098,0.496,0.602,0.2206,0.139,0.0816,y,w
B289,22,16/01/2024,10,24,A,N,0.396,2.433,1.539,0.859,0.68,0.2324,0.1661,0.0663,y,w
B289,23,16/01/2024,10,24,A,NA,0.424,0,0,0,0,0,NA,NA,NA,NA
B289,24,16/01/2024,10,24,A,H,0.399,2.537,1.513,0.89,0.623,0.2511,0.173,0.0781,y,w
B289,25,16/01/2024,NA,NA,A,NA,0.416,0,0,0,0,0,NA,NA,NA,NA
B289,26,16/01/2024,11,25,A,N,0.51,2.121,1.327,0.719,0.608,0.2195,0.1459,0.0736,y,w
B289,27,16/01/2024,10,24,A,L,0.48,2.491,1.729,0.989,0.74,0.2477,0.1817,0.066,y,w
B289,28,16/01/2024,10,24,A,L,0.457,2.284,1.403,0.803,0.6,0.207,0.1518,0.0552,y,w
B289,29,16/01/2024,12,26,A,N,0.49,2.371,1.475,0.707,0.768,0.2338,0.1593,0.0745,g/y,w
B289,30,16/01/2024,9,23,A,NA,0.455,2.438,0.74,1.204,0.74,0.2753,0.188,0.0873,g/y,h/w
B289,31,16/01/2024,10,24,A,M,0.481,2.356,1.607,0.891,0.716,0.232,0.1544,0.0776,y,w
B289,32,16/01/2024,10,24,A,L,0.471,2.347,1.479,0.808,0.671,0.2184,0.1474,0.071,y,w
B289,33,16/01/2024,10,24,A,M,0.456,2.157,1.406,0.777,0.629,0.223,0.1474,0.0756,y,w
B289,34,16/01/2024,NA,NA,A,L,0.41,2.408,1.455,0.783,0.672,0.2208,0.1501,0.0707,y,w
B289,35,16/01/2024,12,26,A,M,0.487,2.007,1.557,0.927,0.63,0.2183,0.1493,0.069,g/y,w
B289,36,16/01/2024,11,25,A,L,0.511,2.486,1.593,0.805,0.788,0.263,0.1748,0.0882,y,w
B289,37,16/01/2024,12,26,A,L,0.465,2.05,1.23,0.657,0.573,0.1876,0.1263,0.0613,y,w
B289,38,16/01/2024,11,25,A,L,0.597,2.234,1.371,0.775,0.596,0.2081,0.144,0.0641,y,w
B289,39,16/01/2024,10,24,A,L,0.425,2.464,1.66,0.899,0.761,0.2197,0.1531,0.0666,y,w
B289,40,16/01/2024,NA,NA,A,NA,0.421,0,0,0,0,NA,NA,NA,NA,NA
B289,41,17/01/2024,NA,NA,B,NA,0.38,0,0,0,0,NA,NA,NA,NA,NA
B289,42,17/01/2024,11,25,B,M,0.474,2.34,1.904,1.171,0.733,0.2449,0.1664,0.0785,g/y,h/w
B289,43,17/01/2024,NA,NA,B,NA,0.203,0,0,0,0,NA,NA,NA,NA,NA
B289,44,17/01/2024,10,24,B,H,0.465,2.364,1.642,1.032,0.61,0.2574,0.1918,0.0656,y,w
B289,45,17/01/2024,11,25,B,M,0.483,2.226,1.46,0.836,0.624,0.2239,0.1548,0.0691,y,w
B289,46,17/01/2024,10,24,B,M,0.472,1.913,1.371,0.699,0.672,0.2153,0.1376,0.0777,y,w
B289,47,17/01/2024,NA,NA,B,NA,0.424,0,0,0,0,0,NA,NA,NA,NA
B289,48,17/01/2024,NA,NA,B,NA,0.363,0,0,0,0,0,NA,NA,NA,NA
B289,49,17/01/2024,NA,NA,B,NA,0.225,0,0,0,0,0,NA,NA,NA,NA
B290,1,16/01/2024,11,25,A,M,0.462,2.267,1.526,0.832,0.694,0.2237,0.1513,0.0724,y,w
B290,2,16/01/2024,10,24,A,N,0.491,2.429,1.515,0.971,0.544,0.2317,0.1776,0.0541,y,w
B290,3,16/01/2024,10,24,A,M,0.511,2.806,1.785,1.069,0.716,0.2814,0.1946,0.0868,y,w
B290,4,16/01/2024,9,23,A,NA,0.452,2.611,2.055,1.218,0.837,0.281,0.1847,0.0963,g/y,w
B290,5,16/01/2024,10,24,A,L,0.45,2.366,1.525,0.943,0.582,0.2207,0.1519,0.0688,y,w
B290,6,16/01/2024,10,24,A,L,0.506,2.267,1.41,0.87,0.54,0.2141,0.1605,0.0536,y,w
B290,7,16/01/2024,10,24,A,L,0.479,2.853,1.815,1.096,0.719,0.2823,0.1944,0.0879,y,w
B290,8,16/01/2024,10,24,A,L,0.577,2.327,1.628,0.939,0.689,0.2394,0.1597,0.0797,y,w
B290,9,16/01/2024,10,24,A,M,0.51,2.514,1.683,1.015,0.668,0.2224,0.1628,0.0596,y,w
B290,10,16/01/2024,12,26,A,H,0.476,2.207,1.347,0.898,0.449,0.2272,0.167,0.0602,y,w
B290,11,16/01/2024,10,24,A,N,0.528,2.327,1.568,0.976,0.592,0.2055,0.1433,0.0622,y,w
B290,12,16/01/2024,10,24,A,H,0.63,2.402,1.566,0.961,0.605,0.2271,0.1663,0.0608,y,w
B290,13,16/01/2024,10,24,A,N,0.567,2.683,1.751,1.005,0.746,0.2459,0.1672,0.0787,y,w
B290,14,16/01/2024,10,24,A,N,0.521,2.704,1.746,1.07,0.676,0.2459,0.174,0.0719,y,w
B290,15,16/01/2024,10,24,A,N,0.576,2.585,1.67,0.973,0.697,0.2367,0.1741,0.0626,y,w
B290,16,16/01/2024,10,24,A,L,0.503,2.151,1.272,0.721,0.551,0.1836,0.1266,0.057,y,w
B290,17,16/01/2024,11,25,A,H,0.531,1.987,1.188,0.697,0.491,0.2042,0.1468,0.0574,y,w
B290,18,16/01/2024,10,24,A,L,0.466,2.337,1.478,0.868,0.61,0.1847,0.1202,0.0645,y,w
B290,19,16/01/2024,10,24,A,H,0.453,2.416,1.545,0.974,0.571,0.202,0.1438,0.0582,y,w
B290,20,16/01/2024,10,24,A,H,0.476,0,1.762,0.985,0.777,0.2593,0.1685,0.0908,y,w
B290,21,16/01/2024,10,24,A,L,0.484,2.96,1.899,1.135,0.764,0.2743,0.1895,0.0848,y,w
B290,22,16/01/2024,10,24,A,L,0.461,2.531,1.662,0.998,0.664,0.2003,0.1403,0.06,y,w
B290,23,16/01/2024,11,25,A,H,0.491,2.195,1.446,0.91,0.536,0.1898,0.1243,0.0655,y,w
B290,24,16/01/2024,10,24,A,N,0.454,2.424,1.594,0.87,0.724,0.2061,0.1423,0.0638,y,w
B290,25,16/01/2024,11,25,A,H,0.467,2.339,1.509,0.918,0.591,0.2225,0.1595,0.063,y,w
B290,26,16/01/2024,10,24,A,N,0.518,2.393,1.676,1.011,0.665,0.2504,0.1723,0.0781,y,w
B290,27,16/01/2024,10,24,A,N,0.504,2.657,1.693,0.927,0.766,0.2371,0.1637,0.0734,y,w
B290,28,16/01/2024,10,24,A,H,0.511,2.603,1.649,0.947,0.702,0.2436,0.1591,0.0845,y,w
B290,29,16/01/2024,10,24,A,L,0.498,2.75,1.78,1.027,0.753,0.2839,0.1909,0.093,y,w
B290,30,16/01/2024,10,24,A,L,0.456,2.481,1.667,0.979,0.688,0.2327,0.1672,0.0655,y,w
B290,31,16/01/2024,10,24,A,N,0.486,2.539,1.644,0.881,0.763,0.2432,0.1633,0.0799,y,w
B290,32,16/01/2024,NA,NA,A,NA,0.44,0,0,0,0,0,NA,NA,y,w
B290,33,16/01/2024,11,25,A,H,0.475,2.696,1.821,1.099,0.722,NA,NA,NA,y,w
B290,34,16/01/2024,12,26,A,H,0.488,2.322,1.468,0.804,0.664,0.2105,0.1434,0.0671,y,w
B290,35,16/01/2024,11,25,A,L,0.343,2.257,1.568,0.81,0.758,0.2323,0.1456,0.0867,y,w
B290,36,16/01/2024,12,26,A,M,0.492,2.147,1.352,0.668,0.684,0.216,0.1365,0.0795,y,w
B290,37,17/01/2024,10,24,B,M,0.497,2.395,1.708,0.908,0.8,0.2722,0.1774,0.0948,y,w
B290,38,17/01/2024,11,25,B,L,0.464,2.489,1.658,0.884,0.774,0.2597,0.1801,0.0796,y,w
B290,39,17/01/2024,9,23,B,L,0.481,2.317,1.621,0.978,0.643,0.2622,0.1826,0.0796,y,w
B290,40,17/01/2024,NA,NA,B,M,0.564,2.309,1.61,0.965,0.645,0.2244,0.1508,0.0736,y,w
B290,41,17/01/2024,NA,NA,B,NA,0.428,0,0,0,0,NA,NA,NA,y,w
B290,42,17/01/2024,NA,NA,B,H,0.382,2.341,1.52,0.883,0.637,0.2486,0.1671,0.0815,y,w
B290,43,17/01/2024,11,25,B,H,0.454,2.271,1.488,0.855,0.633,0.2414,0.174,0.0674,y,w
B290,44,17/01/2024,NA,NA,B,NA,0.423,0,0,0,0,NA,NA,NA,y,w
B290,45,17/01/2024,10,24,B,H,0.497,2.677,1.713,0.965,0.748,0.2821,0.187,0.0951,y,w
B290,46,17/01/2024,11,25,B,L,0.463,2.003,1.155,0.6,0.555,0.1901,0.1204,0.0697,y,w
B290,47,17/01/2024,NA,NA,B,NA,0.232,0,0,0,0,0,NA,NA,y,w
B290,48,17/01/2024,NA,NA,B,NA,0.372,2.226,0,0,0,0,NA,NA,y,w
B290,49,17/01/2024,NA,NA,B,NA,0.262,0,0,0,0,0,NA,NA,y,w
B290,50,17/01/2024,10,24,B,H,0.487,2.591,1.737,1.057,0.68,0.259,0.1824,0.0766,y,w
B290,51,17/01/2024,10,24,B,M,0.483,2.276,1.513,0.899,0.614,0.2216,0.1583,0.0633,y,w
B290,52,17/01/2024,11,25,B,NA,0.528,2.283,0,0,0,0.224,0.1508,0.0732,y,w
B290,53,17/01/2024,10,24,B,M,0.463,2.376,1.862,1.222,0.64,0.2514,0.1741,0.0773,g/y,w
Bowman,1,07/01/2024,NA,NA,A,NA,0.362,0,0,0,0,0,NA,NA,NA,NA
Bowman,2,07/01/2024,9,23,A,NA,0.489,1.965,1.815,1.15,0.665,0.2373,0.1528,0.0845,y,w
Bowman,3,07/01/2024,NA,NA,A,NA,0.394,0,0,0,0,0,NA,NA,NA,NA
Bowman,4,07/01/2024,NA,NA,A,NA,0.377,0,0,0,0,0,NA,NA,NA,NA
Bowman,5,07/01/2024,8,22,A,NA,0.449,1.715,1.23,0.863,0.367,0.1839,0.1328,0.0511,g/y,w
Bowman,6,07/01/2024,NA,NA,A,NA,0.373,0,0,0,0,0,NA,NA,NA,NA
Bowman,7,07/01/2024,NA,NA,A,NA,0.321,0,0,0,0,0,NA,NA,NA,NA
Bowman,8,07/01/2024,9,23,A,NA,0.512,1.999,1.874,1.231,0.643,0.2518,0.166,0.0858,g/y,w
Bowman,9,07/01/2024,NA,NA,A,NA,0.261,0,0,0,0,0,NA,NA,NA,NA
Bowman,10,07/01/2024,9,23,A,NA,0.471,1.524,1.704,1.094,0.61,0.2206,0.1424,0.0782,g/y,w
Bowman,11,07/01/2024,NA,NA,A,NA,0.413,0,0,0,0,0,NA,NA,NA,NA
Bowman,12,07/01/2024,12,26,A,NA,0.452,1.122,1.329,0.818,0.511,0.1689,0.1028,0.0661,g/y,h/w
Bowman,13,07/01/2024,9,23,A,NA,0.464,1.504,1.496,1.043,0.453,0.2039,0.1448,0.0591,y,w
Bowman,14,07/01/2024,12,26,A,NA,0.451,1.549,1.804,1.172,0.632,0.2544,0.1604,0.094,g/y,h/w
Bowman,15,07/01/2024,8,22,A,NA,0.531,2.472,2.191,1.476,0.715,0.2952,0.185,0.1102,y,w
Bowman,16,07/01/2024,NA,14,A,NA,0.38,0,0,0,0,0,NA,NA,NA,NA
Bowman,17,07/01/2024,11,25,A,NA,0.462,1.571,1.689,1.074,0.615,0.252,0.1515,0.1005,g/y,h/w
Bowman,18,07/01/2024,NA,14,A,NA,0.338,0,0,0,0,0,NA,NA,NA,NA
Bowman,19,07/01/2024,10,24,A,NA,0.489,2.032,1.954,1.259,0.695,0.286,0.1718,0.1142,g/y,h/w
