Genotype,rep,germinationdate,Age_one,Age_two,Group,Algae,Initalweight,WeightPreStress,Totalfreshweight,Totalshootweight,Totalrootweight,Totaldryweight,Shootdryweight,Rootdryweight,Green/yellow,Healthy/wilted
Bowman,20,07/01/2024,NA,14,A,NA,0.381,0,0,0,0,0,NA,NA,NA,NA
Bowman,21,07/01/2024,NA,14,A,NA,0.428,0,0,0,0,0,NA,NA,NA,NA
Bowman,22,07/01/2024,11,25,A,NA,0.45,1.388,1.649,0.937,0.712,0.258,0.1472,0.1108,y,w
Bowman,23,07/01/2024,NA,14,A,NA,0.326,0,0,0,0,0,NA,NA,NA,NA
Bowman,24,07/01/2024,10,24,A,NA,0.45,1.653,0,0,0,0,NA,NA,NA,NA
Bowman,25,07/01/2024,9,23,A,NA,0.466,1.709,1.625,0.958,0.667,0.2058,0.13,0.0758,g/y,h/w
Bowman,26,07/01/2024,8,22,A,NA,0.466,2.096,2.043,1.434,0.609,0.2622,0.1764,0.0858,g/y,h/w
Bowman,27,07/01/2024,8,22,A,NA,0.47,2.141,2.106,1.416,0.69,0.2752,0.1773,0.0979,g/y,h/w
Bowman,28,07/01/2024,NA,14,A,NA,0.35,0,0,0,0,0,NA,NA,NA,NA
Bowman,29,07/01/2024,8,22,A,NA,0.515,2.206,1.413,0.937,0.476,0.2256,0.1534,0.0722,g/y,w
Bowman,30,07/01/2024,NA,14,A,NA,0.224,0,0,0,0,0,NA,NA,NA,NA
Bowman,31,07/01/2024,NA,14,A,NA,0.243,0,0,0,0,0,NA,NA,NA,NA
Bowman,32,07/01/2024,NA,14,A,NA,0.453,0,0,0,0,0,NA,NA,NA,NA
Bowman,33,07/01/2024,NA,14,A,NA,0.358,0,0,0,0,0,NA,NA,NA,NA
Bowman,34,07/01/2024,10,24,A,NA,0.501,1.964,0,0,0,0,NA,NA,NA,NA
Bowman,35,07/01/2024,8,22,A,NA,0.459,1.866,1.125,0.711,0.414,0.1826,0.1265,0.0561,y,w
Bowman,36,07/01/2024,NA,14,A,NA,0.354,0,0,0,0,0,NA,NA,NA,NA
Bowman,37,07/01/2024,9,23,A,NA,0.478,1.352,0,0,0,0,NA,NA,NA,NA
Bowman,38,07/01/2024,NA,14,A,NA,0.337,0,0,0,0,0,NA,NA,NA,NA
Bowman,39,07/01/2024,NA,14,A,NA,0.582,0,0,0,0,0,NA,NA,NA,NA
Bowman,40,07/01/2024,NA,14,A,NA,0.409,0,0,0,0,0,NA,NA,NA,NA
Bowman,41,07/01/2024,10,24,A,NA,0.481,2.396,0,0,0,0.2987,0.1698,0.1289,y,w
Bowman,42,07/01/2024,11,25,A,NA,0.458,1.314,1.628,1.035,0.593,0.2016,0.13,0.0716,g/y,w
Bowman,43,07/01/2024,8,22,A,NA,0.451,1.862,1.139,0.674,0.465,0.1882,0.1221,0.0661,y,w
Bowman,44,07/01/2024,12,26,A,NA,0.425,1.625,1.374,0.876,0.498,0.2039,0.1348,0.0691,g/y,h/w
Bowman,45,07/01/2024,NA,14,A,NA,0.381,0,0,0,0,0,NA,NA,NA,NA
B289,1,07/01/2024,8,22,A,NA,0.461,1.554,0,0,0,0,NA,NA,NA,NA
B289,2,07/01/2024,8,22,A,NA,0.539,2.74,0,0,0,0,NA,NA,NA,NA
B289,3,07/01/2024,8,22,A,NA,0.5,1.837,1.192,0.77,0.422,0.2017,0.1357,0.066,y,w
B289,4,07/01/2024,8,22,A,NA,0.482,2.278,1.51,0.89,0.62,0.2395,0.161,0.0785,y,w
B289,5,07/01/2024,NA,14,A,NA,0.271,2.306,0,0,0,0,NA,NA,NA,NA
B289,6,07/01/2024,NA,14,A,NA,0.392,0,0,0,0,0,NA,NA,NA,NA
B289,7,07/01/2024,NA,14,A,NA,0.419,0,0,0,0,0,NA,NA,NA,NA
B289,8,07/01/2024,NA,14,A,NA,0.38,0,0,0,0,0,NA,NA,NA,NA
B289,9,07/01/2024,NA,14,A,NA,0.365,0,0,0,0,0,NA,NA,NA,NA
B289,10,07/01/2024,8,22,A,NA,0.454,1.489,1.103,0.773,0.33,0.1608,0.1188,0.042,y,w
B289,11,07/01/2024,8,22,A,NA,0.456,1.583,1.504,1.1,0.404,0.2022,0.1456,0.0566,y,w
B289,12,07/01/2024,NA,14,A,NA,0.393,0,0,0,0,0,NA,NA,NA,NA
B289,13,07/01/2024,8,22,A,NA,0.543,2.112,1.228,0.589,0.639,0.2147,0.1321,0.0826,y,w
B289,14,07/01/2024,8,22,A,NA,0.475,1.888,1.42,0.905,0.515,0.1946,0.1361,0.0585,y,w
B289,15,07/01/2024,9,23,A,NA,0.458,1.156,1.377,0.966,0.411,0.186,0.13,0.056,g,h/w
B289,16,07/01/2024,8,22,A,NA,0.543,2.499,2.336,1.601,0.735,0.2933,0.2031,0.0902,g/y,w
B289,17,07/01/2024,8,22,A,NA,0.538,1.887,1.257,0.791,0.466,0.1913,0.1343,0.057,y,w
B289,18,07/01/2024,8,22,A,NA,0.454,2.127,1.546,0.981,0.565,0.1979,0.1363,0.0616,y,w
B289,19,07/01/2024,8,22,A,NA,0.471,2.055,1.482,0.928,0.554,0.2094,0.1334,0.076,y,w
B289,20,07/01/2024,9,23,A,NA,0.491,2.089,1.839,1.123,0.716,0.2679,0.1854,0.0825,y,w
B289,21,07/01/2024,8,22,A,NA,0.506,2.04,1.491,1.027,0.464,0.223,0.153,0.07,y,w
B289,22,07/01/2024,9,23,A,NA,0.491,1.945,1.931,1.304,0.627,0.2672,0.1786,0.0886,y,w
B289,23,07/01/2024,NA,14,A,NA,0.405,0,0,0,0,0,NA,NA,NA,NA
B289,24,07/01/2024,NA,14,A,NA,0.273,0,0,0,0,0,NA,NA,NA,NA
B289,25,07/01/2024,9,23,A,NA,0.457,1.091,0,0,0,0.1688,0.1188,0.05,y,w
B289,26,07/01/2024,8,22,A,NA,0.53,1.603,0.808,0.465,0.343,0.1403,0.0853,0.055,y,w
B289,27,07/01/2024,NA,14,A,NA,0.578,0,0,0,0,0,NA,NA,NA,NA
B289,28,07/01/2024,8,22,A,NA,0.522,2.479,1.699,1.099,0.6,0.2585,0.1767,0.0818,y,w
B289,29,07/01/2024,8,22,A,NA,0.454,2.289,1.341,0.854,0.487,0.2196,0.1457,0.0739,y,w
B289,30,07/01/2024,8,22,A,NA,0.504,2.514,1.723,1.09,0.633,0.2903,0.2019,0.0884,y,w
B289,31,07/01/2024,9,23,A,NA,0.489,2.351,0,0,0,0,NA,NA,NA,NA
B289,32,07/01/2024,8,22,A,NA,0.532,2.526,1.52,0.986,0.534,0.256,0.1615,0.0945,y,w
B289,33,07/01/2024,9,23,A,NA,0.466,1.49,0,0,0,0,NA,NA,NA,NA
B289,34,07/01/2024,8,22,A,NA,0.488,2.402,1.565,0.949,0.616,0.2395,0.1602,0.0793,y,w
B289,35,07/01/2024,11,25,A,NA,0.511,1.97,1.245,0.783,0.462,0.247,0.1538,0.0932,y,w
B289,36,07/01/2024,9,23,A,NA,0.502,2.1,1.744,1.097,0.647,0.2627,0.1767,0.086,y,w
B289,37,07/01/2024,NA,14,A,NA,0.482,0,0,0,0,0,NA,NA,NA,NA
B289,38,07/01/2024,8,22,A,NA,0.53,2.364,1.445,0.897,0.548,0.2671,0.1591,0.108,y,w
B289,39,07/01/2024,11,25,A,NA,0.461,1.954,2.185,1.46,0.725,0.3311,0.2028,0.1283,g,h
B289,40,07/01/2024,8,22,A,NA,0.451,2.24,1.225,0.775,0.45,0.2124,0.1394,0.073,y,w
B289,41,07/01/2024,9,23,A,NA,0.52,2.357,2.012,1.242,0.77,0.2787,0.1865,0.0922,y,w
B289,42,07/01/2024,9,23,A,NA,0.49,1.849,1.471,0.845,0.626,0.2403,0.1599,0.0804,y,w
B289,43,07/01/2024,8,22,A,NA,0.469,2.534,1.674,1.105,0.569,0.2732,0.1827,0.0905,y,w
B289,44,07/01/2024,NA,14,A,NA,0.424,0,0,0,0,0,NA,NA,NA,NA
B289,45,07/01/2024,8,22,A,NA,0.463,2.258,1.285,0.68,0.605,0.2356,0.1451,0.0905,y,w
B289,46,07/01/2024,NA,14,A,NA,0.281,0,0,0,0,0,NA,NA,NA,NA
B290,1,07/01/2024,12,26,A,NA,0.474,2.65,2.556,1.581,0.975,0.3501,0.2196,0.1305,g/y,w
B290,2,07/01/2024,8,22,A,NA,0.473,1.75,0.886,0.511,0.375,0.2,0.1254,0.0746,y,w
B290,3,07/01/2024,8,22,A,NA,0.508,2.152,1.301,0.79,0.511,0.223,0.148,0.075,y,w
B290,4,07/01/2024,NA,14,A,NA,0.394,0,0,0,0,0,NA,NA,NA,NA
B290,5,07/01/2024,11,25,A,NA,0.458,0,2.054,1.101,0.953,0.3583,0.1771,0.1812,y,w
B290,6,07/01/2024,10,24,A,NA,0.465,1.894,1.258,0.825,0.433,0.24,0.1558,0.0842,y,w
B290,7,07/01/2024,NA,14,A,NA,0.348,0,0,0,0,0,NA,NA,NA,NA
B290,8,07/01/2024,NA,14,A,NA,0.313,0,0,0,0,0,NA,NA,NA,NA
B290,9,07/01/2024,8,22,A,NA,0.494,1.91,1.256,0.818,0.438,0.218,0.1517,0.0663,y,w
B290,10,07/01/2024,NA,14,A,NA,0.443,0,0,0,0,0,NA,NA,NA,NA
B290,11,07/01/2024,8,22,A,NA,0.466,1.461,0.719,0.428,0.291,0.1263,0.0787,0.0476,y,w
B290,12,07/01/2024,8,22,A,NA,0.49,1.627,1.412,0.965,0.447,0.2136,0.1442,0.0694,y,w
B290,13,07/01/2024,11,25,A,NA,0.468,0,1.377,0.869,0.508,0.2237,0.1351,0.0886,y,w
B290,14,07/01/2024,12,26,A,NA,0.456,1.472,1.459,1.05,0.409,0.227,0.1718,0.0552,g/y,w
B290,15,07/01/2024,9,23,A,NA,0.47,1.336,1.107,0.632,0.475,0.1993,0.1352,0.0641,y,w
B290,16,07/01/2024,10,24,A,NA,0.466,1.178,0.851,0.529,0.322,0.1696,0.1108,0.0588,y,w
B290,17,07/01/2024,NA,14,A,NA,0.329,0,0,0,0,0,NA,NA,NA,NA
B290,18,07/01/2024,8,22,A,NA,0.466,1.533,0.924,0.558,0.366,0.1497,0.0967,0.053,y,w
B290,19,07/01/2024,8,22,A,NA,0.581,0,0,0,0,0,NA,NA,NA,NA
B290,20,07/01/2024,NA,14,A,NA,0.344,0,0,0,0,0,NA,NA,NA,NA
B290,21,07/01/2024,NA,14,A,NA,0.352,0,0,0,0,0,NA,NA,NA,NA
B290,22,07/01/2024,10,24,A,NA,0.49,1.779,1.826,1.218,0.608,0.3009,0.1881,0.1128,g/y,w
B290,23,07/01/2024,12,26,A,NA,0.462,1.393,1.471,1.016,0.455,0.2337,0.1694,0.0643,g/y,w
B290,24,07/01/2024,9,23,A,NA,0.453,2.153,1.423,0.785,0.638,0.2389,0.1568,0.0821,y,w
B290,25,07/01/2024,8,22,A,NA,0.531,2.695,1.83,1.232,0.598,0.286,0.2004,0.0856,y,w
B290,26,07/01/2024,11,25,A,NA,0.466,0,1.748,1.211,0.537,0.3023,0.1966,0.1057,y,w
B290,27,07/01/2024,10,24,A,NA,0.458,1.49,1.165,0.749,0.416,0.2229,0.1451,0.0778,y,w
B290,28,07/01/2024,NA,14,A,NA,0.431,0,0,0,0,0,NA,NA,NA,NA
B290,29,07/01/2024,8,22,A,NA,0.459,1.542,1.096,0.62,0.476,0.1621,0.1055,0.0566,y,w
B290,30,07/01/2024,NA,14,A,NA,0.358,0,0,0,0,0,NA,NA,NA,NA
B290,31,07/01/2024,8,22,A,NA,0.491,1.98,1.229,0.769,0.46,0.2025,0.1402,0.0623,y,w
B290,32,07/01/2024,9,23,A,NA,0.45,1.133,1.299,0.987,0.312,0.1872,0.1417,0.0455,g/y,w
B290,33,07/01/2024,8,22,A,NA,0.531,2.581,1.902,1.232,0.67,0.2917,0.1998,0.0919,g/y,w
B290,34,07/01/2024,9,23,A,NA,0.451,1.661,1.458,0.902,0.556,0.2178,0.146,0.0718,g/y,w
B290,35,07/01/2024,NA,14,A,NA,0.389,0,0,0,0,0,NA,NA,NA,NA
B290,36,07/01/2024,9,23,A,NA,0.462,1.84,1.381,0.868,0.513,0.2193,0.1483,0.071,y,w
B290,37,07/01/2024,8,22,A,NA,0.45,1.89,1.725,1.186,0.539,0.2529,0.1698,0.0831,g/y,w
B290,38,07/01/2024,9,23,A,NA,0.452,2.17,2.069,1.276,0.793,0.2908,0.1852,0.1056,y,w
B290,39,07/01/2024,8,22,A,NA,0.472,2.33,1.459,0.936,0.523,0.2357,0.1592,0.0765,y,w
B290,40,07/01/2024,NA,14,A,NA,0.364,0,0,0,0,0,NA,NA,NA,NA
B290,41,07/01/2024,10,24,A,NA,0.483,1.532,0.981,0.593,0.388,0.1865,0.1186,0.0679,y,w
B290,42,07/01/2024,8,22,A,NA,0.56,0,0,0,0,0,NA,NA,NA,NA
Bowman,1,21/10/2023,NA,NA,A,NA,0.39,0,0,0,0,0,0,0,NA,NA
B290,1,21/10/2023,9,23,A,NA,0.45,2.28,1.417,0.857,0.56,0.2695,0.1791,0.0904,NA,NA
Bowman,3,21/10/2023,NA,NA,A,NA,0.419,0,0,0,0,0,0,0,NA,NA
Bowman,4,21/10/2023,NA,NA,A,NA,0.356,0,0,0,0,0,0,0,NA,NA
Bowman,5,21/10/2023,NA,NA,A,NA,0.405,0,0,0,0,0,0,0,NA,NA
B290,7,21/10/2023,9,23,A,NA,0.45,2.33,1.549,0.89,0.659,0.2845,0.1768,0.1077,NA,NA
Bowman,7,21/10/2023,NA,NA,A,NA,0.336,0,0,0,0,0,0,0,NA,NA
B290,10,21/10/2023,9,23,A,NA,0.453,2.32,1.321,0.799,0.522,0.267,0.1739,0.0931,NA,NA
B289,44,22/10/2023,8,22,B,NA,0.448,2.23,1.392,0.862,0.53,0.2813,0.1837,0.0976,NA,NA
Bowman,10,21/10/2023,NA,NA,A,NA,0.344,1.97,1.793,1.178,0.615,0,0,0,NA,NA
B289,62,22/10/2023,8,22,B,NA,0.485,2.44,1.475,0.812,0.663,0.2831,0.1769,0.1062,NA,NA
B290,8,21/10/2023,10,24,A,NA,0.486,2.669,1.869,1.076,0.793,0.2686,0.1869,0.0817,NA,NA
B290,20,22/10/2023,9,23,B,NA,0.484,2.882,1.889,1.173,0.716,0.3201,0.2255,0.0946,NA,NA
Bowman,14,21/10/2023,NA,NA,A,NA,0.39,0,0,0,0,0,0,0,NA,NA
B290,22,22/10/2023,9,23,B,NA,0.463,2.465,1.642,0.99,0.652,0.2661,0.1926,0.0735,NA,NA
Bowman,52,22/10/2023,9,23,B,NA,0.463,2.424,2.182,1.197,0.985,0.2903,0.1037,0.1866,NA,NA
Bowman,17,21/10/2023,NA,NA,A,NA,0.44,0,0,0,0,0,0,0,NA,NA
B289,70,22/10/2023,9,23,B,NA,0.471,2.416,1.561,0.946,0.615,0.265,0.1869,0.0781,NA,NA
Bowman,19,21/10/2023,NA,NA,A,NA,0.439,0,0,0,0,0,0,0,NA,NA
B290,3,21/10/2023,11,25,A,NA,0.473,2.519,1.595,0.996,0.599,0.2409,0.1746,0.0663,NA,NA
B290,24,22/10/2023,10,24,B,NA,0.455,2.433,1.737,0.958,0.779,0.2394,0.1712,0.0682,NA,NA
B290,30,22/10/2023,10,24,B,NA,0.48,2.76,1.764,1.06,0.704,0.2828,0.2097,0.0731,NA,NA
Bowman,35,22/10/2023,NA,NA,B,NA,0.466,2.542,2.661,1.681,0.98,0.3112,0.2037,0.1075,NA,NA
B289,43,22/10/2023,10,24,B,NA,0.459,2.375,1.958,1.185,0.773,0.2465,0.1703,0.0762,NA,NA
B289,45,22/10/2023,10,24,B,NA,0.454,1.857,1.16,0.652,0.508,0.1926,0.1324,0.0602,NA,NA
Bowman,45,22/10/2023,10,24,B,NA,0.475,2.656,2.575,1.484,1.091,0.2562,0.1792,0.077,NA,NA
Bowman,27,21/10/2023,NA,NA,A,NA,0.41,0,0,0,0,0,0,0,NA,NA
B289,58,22/10/2023,10,24,B,NA,0.466,1.816,1.208,0.7,0.508,0.1832,0.1318,0.0514,NA,NA
Bowman,29,21/10/2023,NA,NA,A,NA,0.345,0,0,0,0,0,0,0,NA,NA
Bowman,30,22/10/2023,NA,NA,A,NA,0.38,0,0,0,0,0,0,0,NA,NA
Bowman,31,22/10/2023,NA,NA,B,NA,0.401,0,0,0,0,0,0,0,NA,NA
Bowman,6,21/10/2023,12,26,A,NA,0.471,2.528,2.595,1.699,0.896,0.2982,0.2134,0.0848,NA,NA
Bowman,33,22/10/2023,NA,NA,B,NA,0.425,0,0,0,0,0,0,0,NA,NA
Bowman,8,21/10/2023,12,26,A,NA,0.515,2.51,2.407,1.557,0.85,0.2569,0.1836,0.0733,NA,NA
Bowman,9,21/10/2023,12,26,A,NA,0.479,2.51,2.569,1.792,0.777,0.25,0.1867,0.0633,NA,NA
Bowman,36,22/10/2023,NA,NA,B,NA,0.429,0,0,0,0,0,0,0,NA,NA
Bowman,37,22/10/2023,NA,NA,B,NA,0,0,0,0,0,0,0,0,NA,NA
B290,11,22/10/2023,11,25,B,NA,0.455,2.658,1.695,1.085,0.61,0.2276,0.175,0.0526,NA,NA
B290,12,22/10/2023,11,25,B,NA,0.457,2.22,1.418,0.812,0.606,0.2397,0.179,0.0607,NA,NA
Bowman,12,21/10/2023,12,26,A,NA,0.475,1.831,1.936,1.284,0.652,0.2204,0.147,0.0734,NA,NA
B290,13,22/10/2023,11,25,B,NA,0.465,2.401,1.576,0.937,0.639,0.2491,0.1707,0.0784,NA,NA
B290,16,22/10/2023,11,25,B,NA,0.525,2.846,1.932,1.125,0.807,0.2763,0.1982,0.0781,NA,NA
B290,17,22/10/2023,11,25,B,NA,0.45,1.905,1.678,1.052,0.626,0.199,0.129,0.07,NA,NA
B290,18,22/10/2023,11,25,B,NA,0.505,2.831,1.849,1.141,0.708,0.2818,0.2094,0.0724,NA,NA
B290,21,22/10/2023,11,25,B,NA,0.495,2.435,1.654,1.011,0.643,0.2309,0.1709,0.06,NA,NA
B290,23,22/10/2023,11,25,B,NA,0.459,2.24,2.04,1.4,0.64,0.2211,0.1618,0.0593,NA,NA
B290,25,22/10/2023,11,25,B,NA,0.518,2.341,1.51,0.927,0.583,0.1761,0.127,0.0491,NA,NA
B290,26,22/10/2023,11,25,B,NA,0.453,2.37,1.584,0.984,0.6,0.2079,0.1483,0.0596,NA,NA
Bowman,26,21/10/2023,12,26,A,NA,0.46,2.144,1.504,0.92,0.584,0.2168,0.1558,0.061,NA,NA
B289,31,21/10/2023,12,26,A,NA,0.47,0,2.435,1.652,0.783,0.3054,0.2234,0.082,NA,NA
B290,31,22/10/2023,11,25,B,NA,0.501,2.612,2.465,1.59,0.875,0.2809,0.2009,0.08,NA,NA
B289,32,21/10/2023,12,26,A,NA,0.478,2.039,2.174,1.387,0.787,0.2626,0.1888,0.0738,NA,NA
B290,32,22/10/2023,11,25,B,NA,0.518,2.589,2.353,1.606,0.747,0.2834,0.2117,0.0717,NA,NA
B290,35,22/10/2023,11,25,B,NA,0.463,2.952,2.875,2.001,0.874,0.3126,0.2285,0.0841,NA,NA
Bowman,38,22/10/2023,11,25,B,NA,0.466,2.433,2.271,1.35,0.921,0.2688,0.1784,0.0904,NA,NA
Bowman,39,22/10/2023,11,25,B,NA,0.51,2.441,2.7,1.804,0.896,0.3033,0.21,0.0933,NA,NA
B289,3,21/10/2023,NA,NA,A,NA,0.411,0,0,0,0,0,0,0,NA,NA
Bowman,41,22/10/2023,11,25,B,NA,0.468,2.622,2.764,1.798,0.966,0.2957,0.2037,0.092,NA,NA
B289,5,21/10/2023,13,27,A,NA,0.282,0,#VALUE!,0,0,0,0,0,NA,NA
B289,42,22/10/2023,11,25,B,NA,0.453,2.231,1.649,1.004,0.645,0.2233,0.1473,0.076,NA,NA
B289,7,21/10/2023,NA,NA,A,NA,0.433,0,0,0,0,0,0,0,NA,NA
Bowman,42,22/10/2023,11,25,B,NA,0.462,2.134,1.984,0.667,1.317,0.2213,0.1594,0.0619,NA,NA
Bowman,44,22/10/2023,11,25,B,NA,0.481,2.586,2.256,1.508,0.748,0.2565,0.1834,0.0731,NA,NA
Bowman,46,22/10/2023,11,25,B,NA,0.466,2.048,1.989,1.272,0.717,0.216,0.146,0.07,NA,NA
B289,11,21/10/2023,NA,NA,A,NA,0.4,0,0,0,0,0,0,0,NA,NA
B289,12,21/10/2023,NA,NA,A,NA,0.39,0,0,0,0,0,0,0,NA,NA
B289,13,21/10/2023,NA,NA,A,NA,0.428,0,0,0,0,0,0,0,NA,NA
B289,14,21/10/2023,NA,NA,A,NA,0.364,0,0,0,0,0,0,0,NA,NA
B289,15,21/10/2023,NA,NA,A,NA,0.246,0,#VALUE!,0,0,0,0,0,NA,NA
B289,16,21/10/2023,NA,NA,A,NA,0.41,0,0,0,0,0,0,0,NA,NA
Bowman,47,22/10/2023,11,25,B,NA,0.483,2.449,2.844,1.67,1.174,0.3421,0.2104,0.1317,NA,NA
B289,18,21/10/2023,NA,NA,A,NA,0.325,0,0,0,0,0,0,0,NA,NA
B289,19,21/10/2023,NA,NA,A,NA,0.434,0,0,0,0,0,0,0,NA,NA
B289,20,21/10/2023,NA,NA,A,NA,0.344,0,0,0,0,0,0,0,NA,NA
B289,21,21/10/2023,NA,NA,A,NA,0.412,0,0,0,0,0,0,0,NA,NA
Bowman,48,22/10/2023,11,25,B,NA,0.476,2.522,2.13,1.235,0.895,0.2371,0.1669,0.0702,NA,NA
